name, description, milestone, points
"Novic", "Win 10 matches", "10", "500"
"Electronic Elite", "Win 20 matches against the computer", "20", "800"
"Perfect Game", "Win a match without allowing the opponent to score a single point", "1", "1200"
"Virtuoso", "Win 50 matches", "50", "1500"
"Electronic Elite 2", "Win 50 matches against the computer", "50", "1800"
"Win Streak", "Win 10 matches consecutively", "10", "2000"
"Perfect Game 2", "Win 3 matches without allowing the opponent to score a single point", "3", "2500"
"Win Streak 2", "Win 20 matches consecutively", "20", "2800"
"Electronic Elite 3", "Win 100 matches against the computer", "100", "3000"
"Perfect Game 3", "Win 5 matches without allowing the opponent to score a single point", "5", "3200"
"Luminary", "Win 150 matches", "150", "3500"
"Win Streak 3", "Win 30 matches consecutively", "30", "4000"
